Phon1	Phon2	Phon3	Count	Centered Prob(Phon2 | Phon1 ... Phon3)
l	I	N	186	0.607843137254902
N	g	l	40	0.606060606060606
b	I	h	23	0.605263157894737
U	l	@	182	0.604651162790698
s	t	 	818	0.603690036900369
2	n	d	123	0.602941176470588
V	n	T	9	0.6
s	I	v	198	0.6
b	r	8	3	0.6
U	d	z	6	0.6
N	h	E	3	0.6
V	n	E	3	0.6
f	t	h	6	0.6
J	3	J	6	0.6
i	k	w	33	0.6
v	w	#	3	0.6
l	b	4	3	0.6
r	i	$	3	0.6
b	r	i	39	0.6
_	l	I	9	0.6
u	I	S	6	0.6
3	t	f	3	0.6
S	H	w	3	0.6
t	I	 	781	0.599846390168971
t	1	S	135	0.597345132743363
g	1	S	43	0.597222222222222
{	k	S	40	0.597014925373134
{	n	_	31	0.596153846153846
t	r	E	87	0.595890410958904
k	r	V	44	0.594594594594595
@	s	n	66	0.594594594594595
_	I	 	95	0.59375
S	I	p	98	0.590361445783133
g	r	E	46	0.58974358974359
 	5	v	185	0.589171974522293
1	b	P	43	0.589041095890411
I	N	g	93	0.588607594936709
#	t	m	10	0.588235294117647
V	n	r	30	0.588235294117647
#	m	z	10	0.588235294117647
E	l	v	17	0.586206896551724
p	l	#	21	0.583333333333333
Q	k	V	7	0.583333333333333
D	{	t	7	0.583333333333333
m	p	7	14	0.583333333333333
m	p	8	7	0.583333333333333
r	I	h	28	0.583333333333333
E	m	p	92	0.582278481012658
k	w	8	18	0.580645161290323
s	t	P	11	0.578947368421053
U	l	I	112	0.577319587628866
r	I	{	15	0.576923076923077
@	n	v	50	0.574712643678161
k	j	u	127	0.574660633484163
d	r	V	31	0.574074074074074
p	r	2	74	0.573643410852713
9	r	I	71	0.57258064516129
j	@	n	223	0.571794871794872
 	V	D	4	0.571428571428571
6	n	z	4	0.571428571428571
J	l	I	8	0.571428571428571
v	I	1	12	0.571428571428571
3	s	n	8	0.571428571428571
P	w	U	4	0.571428571428571
i	n	T	12	0.571428571428571
6	@	n	4	0.571428571428571
d	b	8	4	0.571428571428571
5	f	U	4	0.571428571428571
@	s	H	4	0.571428571428571
m	p	V	12	0.571428571428571
I	m	p	275	0.570539419087137
i	l	d	33	0.568965517241379
Q	n	S	29	0.568627450980392
t	w	3	21	0.567567567567568
t	r	2	82	0.561643835616438
j	u	b	46	0.560975609756098
t	@	w	23	0.560975609756098
E	k	w	28	0.56
f	l	5	19	0.558823529411765
g	r	#	43	0.558441558441558
V	n	_	24	0.558139534883721
$	l	t	72	0.558139534883721
S	r	2	5	0.555555555555556
Z	@	r	10	0.555555555555556
3	t	i	5	0.555555555555556
_	I	Q	5	0.555555555555556
t	r	4	5	0.555555555555556
V	k	5	5	0.555555555555556
I	n	T	25	0.555555555555556
Z	@	n	5	0.555555555555556
t	#	Z	5	0.555555555555556
Q	k	1	5	0.555555555555556
7	l	Q	10	0.555555555555556
s	t	@	375	0.554733727810651
S	@	R	36	0.553846153846154
_	I	t	42	0.552631578947368
v	@	b	42	0.552631578947368
I	s	t	888	0.551895587321318
f	$	w	16	0.551724137931034
@	n	_	16	0.551724137931034
b	l	#	11	0.55
T	r	u	11	0.55
f	l	2	45	0.548780487804878
f	j	U	6	0.545454545454545
P	m	2	6	0.545454545454545
V	N	g	30	0.545454545454545
D	m	I	6	0.545454545454545
T	6	z	6	0.545454545454545
E	n	S	131	0.54356846473029
6	n	s	38	0.542857142857143
 	I	n	1259	0.541971588463194
#	s	p	13	0.541666666666667
_	I	N	26	0.541666666666667
s	3	J	13	0.541666666666667
T	r	Q	13	0.541666666666667
r	I	1	20	0.540540540540541
g	r	5	47	0.540229885057471
t	@	r	356	0.540212443095599
w	Q	S	41	0.539473684210526
#	n	J	7	0.538461538461538
j	u	 	108	0.537313432835821
7	l	2	15	0.535714285714286
u	S	H	45	0.535714285714286
Q	m	b	38	0.535211267605634
g	r	V	23	0.534883720930233
V	m	b	81	0.532894736842105
 	s	p	399	0.532710280373832
t	f	U	84	0.531645569620253
I	J	9	18	0.529411764705882
E	n	J	55	0.528846153846154
g	r	u	19	0.527777777777778
I	k	P	235	0.526905829596413
{	k	w	20	0.526315789473684
$	l	z	10	0.526315789473684
T	I	 	21	0.525
I	n	J	32	0.524590163934426
s	t	r	518	0.524291497975709
4	l	I	11	0.523809523809524
d	@	r	110	0.523809523809524
