Phon1	Phon2	Count	Phon1 Count	Prob(Phon2|Phon1)
J	s	4	1306	0.00306278713629403
J	g	4	1306	0.00306278713629403
D	P	1	328	0.00304878048780488
D	t	1	328	0.00304878048780488
D	r	1	328	0.00304878048780488
D	n	1	328	0.00304878048780488
D	f	1	328	0.00304878048780488
D	b	1	328	0.00304878048780488
D	h	1	328	0.00304878048780488
D	V	1	328	0.00304878048780488
d	p	28	9348	0.00299529311082585
p	n	25	8362	0.00298971537909591
k	8	37	12444	0.00297332047573128
E	N	19	6473	0.00293526958133786
b	n	17	5896	0.00288331071913161
s	#	47	16407	0.00286463095020418
N	n	7	2456	0.00285016286644951
5	r	11	3894	0.00282485875706215
z	p	8	2841	0.00281590989088349
s	7	46	16407	0.00280368135551899
#	w	6	2179	0.00275355667737494
l	_	38	13977	0.00271875223581598
I	h	72	26488	0.0027182120205376
j	i	7	2577	0.0027163368257664
s	6	44	16407	0.0026817821661486
l	z	37	13977	0.00264720612434714
1	D	13	4913	0.0026460411154081
6	h	3	1134	0.00264550264550265
6	r	3	1134	0.00264550264550265
6	b	3	1134	0.00264550264550265
P	g	6	2276	0.00263620386643234
@	T	48	18210	0.00263591433278418
f	h	13	4950	0.00262626262626263
t	6	46	17750	0.00259154929577465
l	3	36	13977	0.0025756600128783
5	w	10	3894	0.00256805341551104
s	b	42	16407	0.0025598829767782
b	m	15	5896	0.00254409769335142
b	k	15	5896	0.00254409769335142
S	w	9	3569	0.00252171476604091
S	6	9	3569	0.00252171476604091
p	b	21	8362	0.00251136091844056
p	w	21	8362	0.00251136091844056
I	Q	66	26488	0.00249169435215947
g	b	8	3223	0.00248215947874651
g	p	8	3223	0.00248215947874651
z	u	7	2841	0.00246392115452306
z	n	7	2841	0.00246392115452306
N	m	6	2456	0.00244299674267101
4	i	1	410	0.0024390243902439
4	5	1	410	0.0024390243902439
4	p	1	410	0.0024390243902439
4	r	1	410	0.0024390243902439
4	S	1	410	0.0024390243902439
4	1	1	410	0.0024390243902439
4	h	1	410	0.0024390243902439
s	r	40	16407	0.00243798378740781
7	v	3	1233	0.0024330900243309
7	h	3	1233	0.0024330900243309
7	S	3	1233	0.0024330900243309
f	n	12	4950	0.00242424242424242
f	p	12	4950	0.00242424242424242
f	T	12	4950	0.00242424242424242
i	2	8	3341	0.00239449266686621
p	m	20	8362	0.00239177230327673
_	h	5	2114	0.00236518448438978
h	4	5	2114	0.00236518448438978
_	s	5	2114	0.00236518448438978
H	n	5	2124	0.00235404896421846
d	3	22	9348	0.00235344458707745
I	T	62	26488	0.00234068257324071
j	V	6	2577	0.00232828870779977
$	D	6	2595	0.0023121387283237
J	6	3	1306	0.00229709035222052
p	h	19	8362	0.00227218368811289
d	S	21	9348	0.00224646983311938
S	k	8	3569	0.00224152423648081
f	g	11	4950	0.00222222222222222
f	4	11	4950	0.00222222222222222
n	3	35	15926	0.00219766419691071
t	p	39	17750	0.00219718309859155
P	S	5	2276	0.00219683655536028
P	p	5	2276	0.00219683655536028
P	l	5	2276	0.00219683655536028
g	s	7	3223	0.0021718895439032
g	t	7	3223	0.0021718895439032
g	h	7	3223	0.0021718895439032
d	t	20	9348	0.00213949507916132
s	h	35	16407	0.00213323581398184
U	w	3	1413	0.00212314225053079
i	Z	7	3341	0.00209518108350793
i	Q	7	3341	0.00209518108350793
k	U	26	12444	0.00208936033429765
k	m	26	12444	0.00208936033429765
v	s	7	3374	0.0020746887966805
v	w	7	3374	0.0020746887966805
9	z	1	488	0.00204918032786885
9	w	1	488	0.00204918032786885
N	S	5	2456	0.00203583061889251
t	k	36	17750	0.00202816901408451
f	d	10	4950	0.00202020202020202
u	j	5	2516	0.0019872813990461
n	n	31	15926	0.00194650257440663
{	D	12	6183	0.00194080543425522
l	g	27	13977	0.00193174500965873
l	8	27	13977	0.00193174500965873
l	h	27	13977	0.00193174500965873
$	I	5	2595	0.00192678227360308
p	k	16	8362	0.00191341784262138
 	8	74	38731	0.00191061423665797
_	j	4	2114	0.00189214758751183
_	6	4	2114	0.00189214758751183
_	p	4	2114	0.00189214758751183
