No.	Word	Biphone joint trans logprob	Triphone joint trans logprob	Biphone avg trans logprob	Triphone avg trans logprob	Triphone avg centered logprob	Avg biphone prob	Avg triphone prob	NNB	NNB freq	Neighbors	GNM sim	GNM sim (adj.)	Nearest neighbors
50	S2nt	-14.7558626830567	-8.67309585516283	-2.1571295298687	-1.93398597855449	-1.88886375285535	-5.1627607201169	-4.02163860630036	7	33.1885960560936		0.121614051521149	3.13996673262114e-06	shine (30, 0.70000), shine (614, 0.70000), shine (28, 0.70000), shan't (141, 0.78846), pint (268, 0.88889)
51	SIlk	-16.8489055369073	-12.6846442515255	-2.84437864970788	-2.62123509839367	-3.96928908845221	-5.914200452537	-6.44436801113646	5	22.6993059027962		0.142285879071244	3.67369494903938e-06	silk (474, 0.48276), ilk (10, 0.70000), bilk (2, 0.92683), milk (1792, 0.94444), milk (174, 0.94444)
52	Sruks	-20.3555438048949	-15.1918990513884	-2.80014466699303	-2.61782311019907	-1.44389919629674	-5.79095570462276	-5.43936522159066	0	0		0.00501922007576667	1.29591801806477e-07	roots (127, 1.35385), troops (782, 1.38722), shrew (42, 1.40000), shriek (85, 1.42941), shriek (208, 1.42941)
53	S3n	-13.9472573389068	-inf	-2.69798175127004	-2.41029967881826	-3.51455289129538	-5.94829647476721	-6.87133932446559	23	110.307792449268		0.493254526259211	1.2735393515768e-05	churn (15, 0.50000), churn (89, 0.50000), shawn (1, 0.65217), earn (973, 0.70000), urn (68, 0.70000)
54	SwuZ	-21.7439005451736	-inf	-3.2490605771738	-3.02591702585959	-6.44094654063292	-7.8324271728439	-9.60136843228658	0	0		0.00738319507100833	1.90627535333669e-07	swoon (10, 1.36081), swoon (26, 1.36081), shoe (1417, 1.40000), shoe (20, 1.40000), shoo (21, 1.40000)
55	skEl	-14.5866594464467	-10.1413354405165	-2.51528120413216	-2.29213765281795	-1.88323719884316	-5.23595065643911	-4.62119234567503	24	118.175802092248		0.390648291892277	1.00861917299392e-05	spell (334, 0.57143), spell (319, 0.57143), skill (1456, 0.60870), scull (13, 0.66667), scull (1, 0.66667)
56	skIk	-12.1814905825048	-9.42912356717985	-2.36020995506376	-2.13706640374955	-1.75441300925916	-4.94139200213849	-3.78947921630452	23	103.277539937689		0.407374639209331	1.05180511530642e-05	skip (23, 0.57143), skip (168, 0.57143), skit (3, 0.65385), stick (698, 0.65385), stick (1683, 0.65385)
57	sklund	-17.8460887615978	-17.795120759267	-2.27333497954465	-2.11918429971739	-1.9605117982736	-5.24469246538703	-4.5377191029047	0	0		0.0021333742230199	5.50818265219049e-08	seclude (6, 1.40000), slewed (2, 1.40000), scrounge (25, 1.60753), skew-eyed (2, 1.62959), saloon (212, 1.64872)
58	skr2d	-14.4895321613586	-10.4001193697446	-2.21579377477694	-2.03347221798299	-1.5890776214966	-5.19619766352235	-4.42183460172851	5	18.0574661775049		0.122858445906995	3.17209588977807e-06	stride (183, 0.65385), stride (225, 0.65385), scribe (22, 0.69444), scribe (21, 0.69444), screed (1, 0.73333)
59	sl1m	-14.0918072547337	-10.0152473497623	-2.60300914523401	-2.3798655939198	-2.55072050733058	-5.33466269844256	-5.18554441802941	24	111.082612704445		0.291633810656167	7.52972581797957e-06	lame (9, 0.70000), lame (71, 0.70000), same (241, 0.70000), same (11841, 0.70000), slay (79, 0.70000)
